case,x,v_x_0
h=0,0.0524,0.04810461775851861
h=0,0.0528,0.04847879469035075
h=0,0.053200000000000004,0.04885292123849248
h=0,0.0536,0.049226997195992515
h=0,0.054,0.04960102235583693
h=0,0.054400000000000004,0.04997499651094949
h=0,0.0548,0.05034891945419191
h=0,0.055200000000000006,0.050722790978364886
h=0,0.055600000000000004,0.05109661087620774
h=0,0.056,0.05147037894039819
h=0,0.056400000000000006,0.05184409496355434
h=0,0.0568,0.05221775873823315
h=0,0.0572,0.05259137005693116
h=0,0.057600000000000005,0.05296492871208643
h=0,0.058,0.05333843449607544
h=0,0.0584,0.05371188720121726
h=0,0.058800000000000005,0.05408528661977066
h=0,0.0592,0.05445863254393626
h=0,0.0596,0.05483192476585663
h=0,0.060000000000000005,0.05520516307761545
h=0,0.0604,0.05557834727123917
h=0,0.0608,0.05595147713869599
h=0,0.061200000000000004,0.05632455247189751
h=0,0.0616,0.05669757306269819
h=0,0.062,0.057070538702895336
h=0,0.062400000000000004,0.05744344918423067
h=0,0.06280000000000001,0.05781630429838898
h=0,0.0632,0.05818910383699981
h=0,0.0636,0.05856184759163642
h=0,0.064,0.05893453535381815
h=0,0.0644,0.05930716691500756
h=0,0.0648,0.05967974206661461
h=0,0.06520000000000001,0.060052260599992885
h=0,0.0656,0.06042472230644305
h=0,0.066,0.06079712697721236
h=0,0.0664,0.06116947440349284
h=0,0.0668,0.06154176437642506
h=0,0.06720000000000001,0.06191399668709615
h=0,0.06760000000000001,0.06228617112653972
h=0,0.068,0.06265828748573839
h=0,0.0684,0.06303034555562233
h=0,0.0688,0.06340234512706912
h=0,0.0692,0.06377428599090587
h=0,0.06960000000000001,0.06414616793790846
h=0,0.07,0.06451799075880156
h=0,0.0704,0.06488975424425877
h=0,0.0708,0.06526145818490453
h=0,0.0712,0.06563310237131309
h=0,0.0716,0.06600468659400811
h=0,0.07200000000000001,0.0663762106434646
h=0,0.0724,0.06674767431010882
h=0,0.0728,0.06711907738431744
h=0,0.0732,0.06749041965641896
h=0,0.0736,0.06786170091669388
h=0,0.07400000000000001,0.0682329209553743
h=0,0.07440000000000001,0.06860407956264586
h=0,0.0748,0.06897517652864532
h=0,0.0752,0.06934621164346363
h=0,0.0756,0.06971718469714443
h=0,0.076,0.07008809547968502
h=0,0.07640000000000001,0.07045894378103726
h=0,0.07680000000000001,0.07082972939110661
h=0,0.0772,0.07120045209975305
h=0,0.0776,0.07157111169679149
h=0,0.078,0.07194170797199159
h=0,0.0784,0.0723122407150793
h=0,0.07880000000000001,0.07268270971573547
h=0,0.0792,0.0730531147635975
h=0,0.0796,0.07342345564825827
h=0,0.08,0.07379373215926793
h=0,0.0804,0.07416394408613375
h=0,0.08080000000000001,0.07453409121831964
h=0,0.08120000000000001,0.0749041733452483
h=0,0.0816,0.07527419025629749
h=0,0.082,0.07564414174080636
h=0,0.0824,0.07601402758807102
h=0,0.0828,0.07638384758734573
h=0,0.08320000000000001,0.07675360152784465
h=0,0.08360000000000001,0.07712328919874144
h=0,0.084,0.07749291038916875
h=0,0.0844,0.07786246488821963
h=0,0.0848,0.0782319524849472
h=0,0.0852,0.07860137296836547
h=0,0.08560000000000001,0.0789707261274492
h=0,0.08600000000000001,0.07934001175113418
h=0,0.0864,0.07970922962831793
h=0,0.0868,0.08007837954785964
h=0,0.0872,0.08044746129858066
h=0,0.0876,0.08081647466926468
h=0,0.08800000000000001,0.081185419448659
h=0,0.0884,0.08155429542547224
h=0,0.0888,0.08192310238837819
h=0,0.0892,0.082291840126013
h=0,0.0896,0.08266050842697761
h=0,0.09000000000000001,0.08302910707983677
h=0,0.09040000000000001,0.08339763587312024
h=0,0.0908,0.08376609459532246
h=0,0.0912,0.08413448303490309
h=0,0.0916,0.08450280098028698
h=0,0.092,0.08487104821986578
h=0,0.09240000000000001,0.08523922454199698
h=0,0.09280000000000001,0.0856073297350035
h=0,0.0932,0.08597536358717688
h=0,0.0936,0.08634332588677356
h=0,0.094,0.08671121642201958
h=0,0.0944,0.08707903498110725
h=0,0.09480000000000001,0.08744678135219819
h=0,0.0952,0.08781445532342035
h=0,0.0956,0.08818205668287275
h=0,0.096,0.08854958521862154
h=0,0.0964,0.08891704071870364
h=0,0.09680000000000001,0.0892844229711242
h=0,0.09720000000000001,0.08965173176385943
h=0,0.0976,0.09001896688485497
h=0,0.098,0.09038612812202788
h=0,0.0984,0.09075321526326491
h=0,0.0988,0.09112022809642545
h=0,0.09920000000000001,0.09148716640933961
h=0,0.09960000000000001,0.09185402998980911
h=0,0.1,0.09222081862560819
h=0,0.1004,0.09258753210448381
h=0,0.1008,0.09295417021415528
h=0,0.1012,0.0933207327423151
h=0,0.10160000000000001,0.09368721947663015
h=0,0.10200000000000001,0.0940536302047387
h=0,0.1024,0.09441996471425568
h=0,0.1028,0.09478622279276931
h=0,0.1032,0.09515240422784169
h=0,0.10360000000000001,0.09551850880701206
h=0,0.10400000000000001,0.09588453631779276
h=0,0.1044,0.09625048654767365
h=0,0.1048,0.0966163592841191
h=0,0.1052,0.09698215431457032
h=0,0.1056,0.09734787142644581
h=0,0.10600000000000001,0.09771351040714048
h=0,0.10640000000000001,0.09807907104402602
h=0,0.1068,0.09844455312445316
h=0,0.1072,0.09880995643574844
h=0,0.1076,0.09917528076521884
h=0,0.108,0.09954052590014835
h=0,0.10840000000000001,0.09990569162780093
h=0,0.10880000000000001,0.10027077773541894
h=0,0.1092,0.100635784010225
h=0,0.1096,0.10100071023942056
h=0,0.11,0.10136555621018822
h=0,0.11040000000000001,0.1017303217096912
h=0,0.11080000000000001,0.10209500652507283
h=0,0.11120000000000001,0.10245961044345757
h=0,0.1116,0.10282413325195233
h=0,0.112,0.10318857473764517
h=0,0.1124,0.10355293468760618
h=0,0.11280000000000001,0.10391721288888837
h=0,0.11320000000000001,0.10428140912852712
h=0,0.1136,0.10464552319354124
h=0,0.114,0.1050095548709325
h=0,0.1144,0.10537350394768762
h=0,0.1148,0.10573737021077557
h=0,0.11520000000000001,0.10610115344715189
h=0,0.11560000000000001,0.10646485344375538
h=0,0.116,0.10682846998750994
h=0,0.1164,0.10719200286532585
h=0,0.1168,0.10755545186409875
